title,genre,premiere,runtime,imdb_score,language,year
Ultras,Sports film,2020-03-20,108.0,5.9,Italian,2020
Come Sunday,Biopic,2018-04-13,106.0,6.0,English,2018
Forgive Us Our Debts,Drama,2018-05-04,104.0,6.0,Italian,2018
iBoy,Science fiction/Thriller,2017-01-27,90.0,6.0,English,2017
Lovefucked,Drama,2019-08-09,106.0,6.0,Hindi,2019
Juanita,Drama,2019-03-08,90.0,6.0,English,2019
Murder Mystery,Comedy mystery,2019-06-14,97.0,6.0,English,2019
Project Power,Superhero,2020-08-14,113.0,6.0,English,2020
Rebecca,Romantic thriller,2020-10-21,123.0,6.0,English,2020
The Christmas Chronicles: Part Two,Christmas comedy,2020-11-25,115.0,6.0,English,2020
The Kissing Booth,Romantic comedy,2018-05-11,105.0,6.0,English,2018
The Princess Switch,Romantic comedy,2018-11-16,101.0,6.0,English,2018
To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102.0,6.0,English,2020
War Machine,War-Comedy,2017-05-26,122.0,6.0,English,2017
6 Underground,Action,2019-12-13,128.0,6.1,English,2019
Between Two Ferns: The Movie,Comedy,2019-09-20,82.0,6.1,English,2019
Burning Sands,Drama,2017-03-10,102.0,6.1,English,2017
Casting JonBenet,Documentary,2017-04-28,80.0,6.1,English,2017
Deidra & Laney Rob a Train,Drama,2017-03-17,94.0,6.1,English,2017
Finding 'Ohana,Family,2021-01-29,123.0,6.1,English,2021
Holidate,Romantic comedy/Holiday,2020-10-28,104.0,6.1,English,2020
Holiday in the Wild,Adventure-romance,2019-11-01,85.0,6.1,English,2019
Hot Girls Wanted,Documentary,2015-05-29,84.0,6.1,English,2015
Like Father,Comedy,2018-08-03,103.0,6.1,English,2018
Lost Girls,Crime drama,2020-03-13,95.0,6.1,English,2020
Otherhood,Comedy,2019-08-02,100.0,6.1,English,2019
Pee-wee's Big Holiday,Adventure,2016-03-18,89.0,6.1,English,2016
Rogue City,Crime drama,2020-10-30,116.0,6.1,French,2020
Sergio,Biopic,2020-04-17,118.0,6.1,English,2020
Stuck Apart,Drama,2021-01-08,96.0,6.1,Turkish,2021
Tersanjung the Movie,Drama,2021-04-01,114.0,6.1,Indonesian,2021
The Killer,Western,2017-11-10,99.0,6.1,Portuguese,2017
The Lovebirds,Romantic comedy,2020-05-22,87.0,6.1,English,2020
The Most Hated Woman in America,Biopic,2017-03-24,92.0,6.1,English,2017
The Perfection,Horror-thriller,2019-05-24,90.0,6.1,English,2019
Tribhanga ? Tedhi Medhi Crazy,Drama,2021-01-15,95.0,6.1,Hindi,2021
Unknown Origins,Thriller,2020-08-28,96.0,6.1,Spanish,2020
Work It,Dance comedy,2020-08-07,93.0,6.1,English,2020
Alien Xmas,Stop Motion,2020-11-20,42.0,6.2,English,2020
Baggio: The Divine Ponytail,Biopic,2021-05-26,92.0,6.2,Italian,2021
Below Zero,Drama,2021-01-29,106.0,6.2,Spanish,2021
Citation,Drama,2020-11-06,151.0,6.2,English,2020
Crazy Awesome Teachers,Comedy-drama,2020-08-17,101.0,6.2,Indonesian,2020
Have You Ever Seen Fireflies?,Comedy,2021-04-09,114.0,6.2,Turkish,2021
High Flying Bird,Sports-drama,2019-02-08,90.0,6.2,English,2019
In the Shadow of the Moon,Thriller,2019-09-27,115.0,6.2,English,2019
Lost Bullet,Thriller,2020-06-19,92.0,6.2,French,2020
Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72.0,6.2,English,2020
Offering to the Storm,Thriller,2020-07-24,139.0,6.2,Spanish,2020
Roxanne Roxanne,Biopic,2018-03-23,98.0,6.2,English,2018
Someone Great,Romantic comedy,2019-04-19,92.0,6.2,English,2019
Spenser Confidential,Action comedy,2020-03-06,111.0,6.2,English,2020
The Land of Steady Habits,Drama,2018-09-14,98.0,6.2,English,2018
The Rachel Divide,Documentary,2018-04-27,104.0,6.2,English,2018
Voyuer ,Documentary,2017-12-01,95.0,6.2,English,2017
Win It All,Comedy,2017-04-07,88.0,6.2,English,2017
1922,Horror/Crime drama,2017-10-20,102.0,6.3,English,2017
A Tale of Two Kitchens,Documentary,2019-05-22,30.0,6.3,English/Spanish,2019
Alex Strangelove,Romantic comedy,2018-06-08,99.0,6.3,English,2018
Apostle,Horror-thriller,2018-10-12,129.0,6.3,English,2018
Benji,Family film,2018-03-16,87.0,6.3,English,2018
Bright,Urban fantasy,2017-12-22,117.0,6.3,English,2017
Cargo,Drama/Horror,2018-05-18,104.0,6.3,English,2018
Concrete Cowboy,Drama,2021-04-02,111.0,6.3,English,2021
Feel the Beat,Family/Comedy-drama,2020-06-19,107.0,6.3,English,2020
Get the Goat,Comedy,2021-03-18,97.0,6.3,Portuguese,2021
I Am Not an Easy Man,Romantic comedy,2018-04-13,98.0,6.3,French,2018
June & Kopi,Drama,2021-01-28,90.0,6.3,Indonesian,2021
Music Teacher,Drama,2019-04-19,101.0,6.3,Hindi,2019
Nail Bomber: Manhunt,Documentary,2021-05-26,72.0,6.3,English,2021
Notes for My Son,Drama,2020-11-24,83.0,6.3,Spanish,2020
Polar,Action,2019-01-25,118.0,6.3,English,2019
Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44.0,6.3,Portuguese,2018
Sand Castle,War,2017-04-21,113.0,6.3,English,2017
Shimmer Lake,Crime thriller,2017-06-09,86.0,6.3,English,2017
Spectral,Science fiction/Action,2016-12-09,108.0,6.3,English,2016
The Babysitter,Teen comedy horror,2017-10-13,85.0,6.3,English,2017
The Discovery,Science fiction/Drama,2017-03-31,102.0,6.3,English,2017
The Forest of Love,Drama,2019-10-11,151.0,6.3,Japanese,2019
The Laundromat,Comedy-drama,2019-10-18,98.0,6.3,English,2019
The Legend of Cocaine Island,Documentary,2019-03-29,87.0,6.3,English,2019
The Outsider,Crime drama,2018-03-09,120.0,6.3,English/Japanese,2018
Time to Hunt,Thriller,2020-04-23,134.0,6.3,Korean,2020
To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109.0,6.3,English,2021
Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85.0,6.3,English,2019
Uncorked,Drama,2020-03-27,103.0,6.3,English,2020
Anelka: Misunderstood,Documentary,2020-08-05,94.0,6.4,French,2020
"Ariana Grande: Excuse Me, I Love You",Concert Film,2020-12-21,97.0,6.4,English,2020
ARQ,Science fiction/Thriller,2016-09-16,88.0,6.4,English,2016
Birders,Documentary,2019-09-25,37.0,6.4,English/Spanish,2019
Como Caído del Cielo,Musical comedy,2019-12-24,112.0,6.4,Spanish,2019
First Match,Sports-drama,2018-03-30,102.0,6.4,English,2018
Fractured,Thriller,2019-10-11,100.0,6.4,English,2019
Irreplaceable You,Drama,2018-02-16,96.0,6.4,English,2018
Isi & Ossi,Romantic comedy,2020-02-14,113.0,6.4,German,2020
John Was Trying to Contact Aliens,Documentary,2020-08-20,16.0,6.4,English,2020
Layla Majnun,Romantic drama,2021-02-11,119.0,6.4,Indonesian,2021
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97.0,6.4,English,2020
My Own Man,Documentary,2014-12-13,81.0,6.4,English,2014
Nappily Ever After,Comedy-drama,2018-09-21,98.0,6.4,English,2018
Over the Moon,Animation/Musical/Adventure,2020-10-23,95.0,6.4,English,2020
Street Flow,Drama,2019-10-12,96.0,6.4,French,2019
Strong Island,Documentary,2017-09-15,107.0,6.4,English,2017
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,2019-09-27,41.0,6.4,English,2019
Take Your Pills,Documentary,2018-03-16,87.0,6.4,English,2018
The Heartbreak Club,Comedy-drama,2021-01-14,101.0,6.4,Indonesian,2021
The Mars Generation,Documentary,2017-05-05,97.0,6.4,English,2017
The Occupant,Thriller,2020-03-25,103.0,6.4,Spanish,2020
The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90.0,6.4,English,2020
Triple Frontier,Action-thriller,2019-03-13,125.0,6.4,English,2019
Two Catalonias,Documentary,2018-09-28,116.0,6.4,Spanish/Catalan,2018
Walk. Ride. Rodeo.,Drama,2019-03-08,99.0,6.4,English,2019
Wheelman,Action thriller,2017-10-20,82.0,6.4,English,2017
When We First Met,Romantic comedy,2018-02-09,97.0,6.4,English,2018
A 3 Minute Hug,Documentary,2019-10-28,28.0,6.5,English/Spanish,2019
All the Bright Places,Romance,2020-02-28,108.0,6.5,English,2020
All Together Now,Drama,2020-08-28,93.0,6.5,English,2020
Altered Carbon: Resleeved,Anime/Science fiction,2020-03-19,74.0,6.5,Japanese,2020
Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60.0,6.5,French,2019
Canvas ,Animation / Short,2020-12-11,9.0,6.5,English,2020
Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21.0,6.5,English,2021
Chopsticks,Comedy,2019-05-31,100.0,6.5,Hindi,2019
Da 5 Bloods,War drama,2020-06-12,155.0,6.5,English,2020
Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55.0,6.5,English,2021
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,2020-06-26,123.0,6.5,English,2020
Gerald's Game,Horror thriller,2017-09-29,103.0,6.5,English,2017
His House,Thriller,2020-10-30,93.0,6.5,English,2020
Jingle Jangle: A Christmas Journey,Family/Christmas musical,2020-11-13,119.0,6.5,English,2020
Life Overtakes Me,Documentary,2019-06-14,40.0,6.5,English/Swedish,2019
Lust Stories,Drama,2018-06-15,120.0,6.5,Hindi,2018
Monster,Drama,2021-05-07,98.0,6.5,English,2021
Mowgli: Legend of the Jungle,Adventure,2018-12-07,104.0,6.5,English,2018
